"Sr No.","Id","Title","Description","Availability","Condition","Price","Link","Image Link","Brand","Google Product Category","FB Product Category","Quantity To Sell On Facebook","Sale Price","Sale Price Effective_Date","Item Group Id","Gender","Color","Size","Age_Group","Material","Pattern","Shipping","Shipping Weight","Offer Disclaimer","Offer Disclaimer Url","Video Url","Video Tag","GTIN","Product Pages","Product Tags","Style"
"109","BB005","Baby Boy Cotton Kurta Payjama With Jacket Set","VASVI Baby Boy Cotton Kurta Payjama With Jacket Set","Yes","No","1999INR","https://vasvi.in/BB005/baby-boy-cotton-kurta-payjama-with-jacket-set-69aa89e1a4971","https://vasvi.in/uploads/products/variant_15_69aa89e1b4dae.png","VASVI","Kids","Kids","100","1999INR","","JJ-10215","unisex","","","","","","","0.490 grm","","","","","","","",""
"110","BG002","Baby Girl Cotton Party Wear Lahnga Choli","VASVI Baby Girl's Cotton Party Wear Lahnga Choli","Yes","No","1899INR","https://vasvi.in/BG002/baby-girl-cotton-party-wear-lahnga-choli-69a51c06bde89","https://vasvi.in/uploads/products/variant_15_69a51c06c7c74.png","VASVI","Kids","Kids","100","1899INR","","JJ-10216","unisex","","","","","","","0.490 grm","","","","","","","",""
"111","BG003","Girls Floral Printed Regular Kurta with Trouser","VASVI Girls Floral Printed Regular Kurta with Trouser","Yes","No","1899INR","https://vasvi.in/BG003/girls-floral-printed-regular-kurta-with-trouser-69a51f3d57782","https://vasvi.in/uploads/products/variant_15_69a51f3d660cb.png","VASVI","Kids","Kids","100","1899INR","","JJ-10217","unisex","","","","","","","0.490 grm","","","","","","","",""
"112","BG004","Girls Floral Printed Regular Kurta with Sharara Set","VASVI Girls Floral Printed Regular Kurta with Sharara Set","Yes","No","1999INR","https://vasvi.in/BG004/girls-floral-printed-regular-kurta-with-sharara-set-69a6ae73e5d65","https://vasvi.in/uploads/products/variant_2_69a6ae74023db.png","VASVI","Kids","Kids","100","1999INR","","JJ-10218","unisex","","","","","","","0.490 grm","","","","","","","",""
"113","TR1314Black","Women Relaxed Mid Rise Cotton Trousers","Women Relaxed Mid Rise Cotton Easy Wash Joggers Trousers","Yes","No","899INR","https://vasvi.in/TR1314Black/women-relaxed-mid-rise-cotton-trousers-699955af0aec0","https://vasvi.in/uploads/products/variant_1_68e0fa0eda48e.JPG","VASVI","Women","Women","100","899INR","","JJ-10219","unisex","","","","","","","250 grm","","","","","","","",""
"114","TR1314White","Women Relaxed Mid Rise Cotton Trousers","Women Relaxed Mid Rise Cotton Easy Wash Joggers Trousers","Yes","No","899INR","https://vasvi.in/TR1314White/women-relaxed-mid-rise-cotton-trousers-699954f23cd8f","https://vasvi.in/uploads/products/variant_3_68e0fc552d432.JPG","VASVI","Women","Women","100","899INR","","JJ-10220","unisex","","","","","","","250 grm","","","","","","","",""
"115","TR1314Green","Women Relaxed Mid Rise Cotton Trousers","Women Relaxed Mid Rise Cotton Easy Wash Joggers Trousers","Yes","No","899INR","https://vasvi.in/TR1314Green/women-relaxed-mid-rise-cotton-trousers-699954c330eb7","https://vasvi.in/uploads/products/variant_4_68e0fd23ece5b.JPG","VASVI","Women","Women","98","899INR","","JJ-10221","unisex","","","","","","","250 grm","","","","","","","",""
"116","TR1314Red","Women Relaxed Mid Rise Cotton Trousers","Women Relaxed Mid Rise Cotton Easy Wash Joggers Trousers","Yes","No","899INR","https://vasvi.in/TR1314Red/women-relaxed-mid-rise-cotton-trousers-69995490b46b5","https://vasvi.in/uploads/products/variant_10_68e0fde7e72b6.JPG","VASVI","Women","Women","100","899INR","","JJ-10222","unisex","","","","","","","250 grm","","","","","","","",""
"117","TR1314Blue","Women Relaxed Mid Rise Cotton Trousers","Women Relaxed Mid Rise Cotton Easy Wash Joggers Trousers","Yes","No","899INR","https://vasvi.in/TR1314Blue/women-relaxed-mid-rise-cotton-trousers-6999545254c44","https://vasvi.in/uploads/products/variant_11_68e0fe6393f40.JPG","VASVI","Women","Women","100","899INR","","JJ-10223","unisex","","","","","","","250 grm","","","","","","","",""
"118","TR1314Navy Blue","Women Relaxed Mid Rise Cotton Trousers","Women Relaxed Mid Rise Cotton Easy Wash Joggers Trousers","Yes","No","899INR","https://vasvi.in/TR1314Navy Blue/women-relaxed-mid-rise-cotton-trousers-699954150836a","https://vasvi.in/uploads/products/variant_17_68e0ff52be83a.JPG","VASVI","Women","Women","100","899INR","","JJ-10224","unisex","","","","","","","250 grm","","","","","","","",""
"119","TR1314Grey","Women Relaxed Mid Rise Cotton Trousers","Women Relaxed Mid Rise Cotton Easy Wash Joggers Trousers","Yes","No","899INR","https://vasvi.in/TR1314Grey/women-relaxed-mid-rise-cotton-trousers-68e39378afa6a","https://vasvi.in/uploads/products/variant_12_68e0ffdb9b432.JPG","VASVI","Women","Women","100","899INR","","JJ-10225","unisex","","","","","","","250 grm","","","","","","","",""
"120","TR1314Mustard","Women Relaxed Mid Rise Cotton Trousers","Women Relaxed Mid Rise Cotton Easy Wash Joggers Trousers","Yes","No","899INR","https://vasvi.in/TR1314Mustard/women-relaxed-mid-rise-cotton-trousers-6992f1cb42991","https://vasvi.in/uploads/products/variant_15_68e100755ea96.JPG","VASVI","Women","Women","99","899INR","","JJ-10226","unisex","","","","","","","250 grm","","","","","","","",""
"121","PZ5043Black","Rayon Solid Straight Ankle Length Palazzo","Rayon Solid Straight Ankle Length Palazzo","Yes","No","649INR","https://vasvi.in/PZ5043Black/rayon-solid-straight-ankle-length-palazzo-699c4e919e17a","https://vasvi.in/uploads/products/variant_1_699c4e91a7b97.jpeg","VASVI","Women","Women","100","649INR","","JJ-10227","unisex","","","","","","","250 grm","","","","","","","",""
"122","PZ5043White","Rayon Solid Straight Ankle Length Palazzo","Rayon Solid Straight Ankle Length Palazzo","Yes","No","649INR","https://vasvi.in/PZ5043White/rayon-solid-straight-ankle-length-palazzo-699952a3f2933","https://vasvi.in/uploads/products/variant_3_68e38ccfa563e.jpg","VASVI","Women","Women","100","649INR","","JJ-10228","unisex","","","","","","","250 grm","","","","","","","",""
"123","PZ5043Red","Rayon Solid Straight Ankle Length Palazzo","Rayon Solid Straight Ankle Length Palazzo","Yes","No","649INR","https://vasvi.in/PZ5043Red/rayon-solid-straight-ankle-length-palazzo-6999526526b0d","https://vasvi.in/uploads/products/variant_10_68e38d2e8a0b6.jpg","VASVI","Women","Women","100","649INR","","JJ-10229","unisex","","","","","","","250 grm","","","","","","","",""
"124","PZ5043Yellow","Rayon Solid Straight Ankle Length Palazzo","Rayon Solid Straight Ankle Length Palazzo","Yes","No","649INR","https://vasvi.in/PZ5043Yellow/rayon-solid-straight-ankle-length-palazzo-69995234831a6","https://vasvi.in/uploads/products/variant_2_68e38f9f34bb7.jpg","VASVI","Women","Women","100","649INR","","JJ-10230","unisex","","","","","","","250 grm","","","","","","","",""
"125","PZ5043Maroon","Rayon Solid Straight Ankle Length Palazzo","Rayon Solid Straight Ankle Length Palazzo","Yes","No","649INR","https://vasvi.in/PZ5043Maroon/rayon-solid-straight-ankle-length-palazzo-6999520a3d06b","https://vasvi.in/uploads/products/variant_34_68e390080d0d7.jpg","VASVI","Women","Women","96","649INR","","JJ-10231","unisex","","","","","","","250 grm","","","","","","","",""
"126","PZ5043Peach","Rayon Solid Straight Ankle Length Palazzo","Rayon Solid Straight Ankle Length Palazzo","Yes","No","649INR","https://vasvi.in/PZ5043Peach/rayon-solid-straight-ankle-length-palazzo-6999751c5c79a","https://vasvi.in/uploads/products/variant_48_68e3912090a60.jpg","VASVI","Women","Women","93","649INR","","JJ-10232","unisex","","","","","","","250 grm","","","","","","","",""
"127","CSD5870","Women Floral Printed Cotton Handwaork Kurta with Trousers & Dupatta","VASVI Women Floral Printed Cotton Handwork Kurta with Trousers & Dupatta","Yes","No","1899INR","https://vasvi.in/CSD5870/women-floral-printed-cotton-handwaork-kurta-with-trousers-dupatta-696ef672b28bf","https://vasvi.in/uploads/products/variant_4_68e61142ac934.JPG","VASVI","Women","Women","95","1899INR","","JJ-10233","unisex","","","","","","","0.490 grm","","","","","","","",""
"128","CSD5941","Floral Printed Mandarin Collar Pure Cotton Straight Kurta With Trousers & Dupatta","VASVI Floral Printed Mandarin Collar Pure Cotton Straight Kurta With Trousers & Dupatta","Yes","No","1849INR","https://vasvi.in/CSD5941/floral-printed-mandarin-collar-pure-cotton-straight-kurta-with-trousers-dupatta-696ef72529d72","https://vasvi.in/uploads/products/variant_2_68e627e16352b.JPG","VASVI","Women","Women","99","1849INR","","JJ-10235","unisex","","","","","","","0.490 grm","","","","","","","",""
"129","CSD5771","Women Printed Modal Chanderi Kurta Pant With Dupatta Set","VASVI Women Printed Modal Chanderi Straight Kurta Pant With Dupatta Set","Yes","No","2499INR","https://vasvi.in/CSD5771/women-printed-modal-chanderi-kurta-pant-with-dupatta-set-696ef7f228730","https://vasvi.in/uploads/products/variant_11_68e6456fc659a.JPG","VASVI","Women","Women","98","2499INR","","JJ-10238","unisex","","","","","","","0.490 grm","","","","","","","",""
"130","CSD5709","Women Printed Modal Chanderi Kurta Pant With Dupatta Set","VASVI Women Printed Modal Chanderi Kurta Pant With Dupatta Set","Yes","No","1999INR","https://vasvi.in/CSD5709/women-printed-modal-chanderi-kurta-pant-with-dupatta-set-696ef86823091","https://vasvi.in/uploads/products/variant_1_68e648126afb0.JPG","VASVI","Women","Women","90","1999INR","","JJ-10239","unisex","","","","","","","0.490 grm","","","","","","","",""
"131","CS6156","Women's Abstract Printed Cotton Flex Kurta With Trouser","VASVI Women's Abstract Printed Cotton Flex  Handwork Kurta With Trouser","Yes","No","1249INR","https://vasvi.in/CS6156/womens-abstract-printed-cotton-flex-kurta-with-trouser-696f5d4f6162b","https://vasvi.in/uploads/products/variant_30_690c4201992c0.JPG","VASVI","Women","Women","99","1249INR","","JJ-10245","unisex","","","","","","","0.390 grm","","","","","","","",""
"132","CS6167","Women's Ethnic Motifs Printed Pure Cotton Flex Kurta with Trousers","VASVI Women's Ethnic Motifs Printed Pure Cotton Flex Kurta with Trousers","Yes","No","1199INR","https://vasvi.in/CS6167/womens-ethnic-motifs-printed-pure-cotton-flex-kurta-with-trousers-696ef97fd5141","https://vasvi.in/uploads/products/variant_30_690c48d0ef018.JPG","VASVI","Women","Women","99","1199INR","","JJ-10246","unisex","","","","","","","0.250 grm","","","","","","","",""
"133","SK6167","Women's Ethnic Motifs Printed Pure Cotton Flex Kurta","VASVI Women's Ethnic Motifs Printed Pure Cotton Flex Kurta","Yes","No","799INR","https://vasvi.in/SK6167/womens-ethnic-motifs-printed-pure-cotton-flex-kurta-697d9b61e8de9","https://vasvi.in/uploads/products/variant_30_690c6faf920b3.JPG","VASVI","Women","Women","96","799INR","","JJ-10247","unisex","","","","","","","0.250 grm","","","","","","","",""
"134","SK6156","Women's Abstract Printed Cotton Flex Kurta","VASVI Women's Abstract Printed Cotton Flex  Handwork Kurta","Yes","No","799INR","https://vasvi.in/SK6156/womens-abstract-printed-cotton-flex-kurta-698c151095ed0","https://vasvi.in/uploads/products/variant_40_690daf00333e7.JPG","VASVI","Women","Women","91","799INR","","JJ-10248","unisex","","","","","","","0.290 grm","","","","","","","",""
"135","CO6064","Cotton Flex Printed Co-ord Set","VASVI Women Cotton Flex Printed Co-ord Set","Yes","No","1399INR","https://vasvi.in/CO6064/cotton-flex-printed-co-ord-set-696b3cee716c1","https://vasvi.in/uploads/products/variant_4_690db18fc18bc.JPG","VASVI","Women","Women","100","1399INR","","JJ-10249","unisex","","","","","","","0.290 grm","","","","","","","",""
"136","CSD5973","Women Ethnic Motifs Muskin Printed Kurta with Trousers & Dupatta","VASVI Women Adda Work Ethnic Motifs Muslin Printed Kurta with Trousers & Dupatta","Yes","No","2999INR","https://vasvi.in/CSD5973/women-ethnic-motifs-muskin-printed-kurta-with-trousers-dupatta-696ef9e8df318","https://vasvi.in/uploads/products/variant_10_690dd6a052bb4.jpg","VASVI","Women","Women","100","2999INR","","JJ-10251","unisex","","","","","","","0.390 grm","","","","","","","",""
